t x u
 1.000000 0.011940 0.074951
 1.000000 0.012000 0.075327
 1.000000 0.012060 0.075703
 1.000000 0.012120 0.076079
 1.000000 0.012180 0.076455
 1.000000 0.012240 0.076830
 1.000000 0.012300 0.077206
 1.000000 0.012360 0.077582
 1.000000 0.012420 0.077958
 1.000000 0.012480 0.078334
 1.000000 0.012540 0.078710
 1.000000 0.012600 0.079085
 1.000000 0.012660 0.079461
 1.000000 0.012720 0.079837
 1.000000 0.012780 0.080213
 1.000000 0.012840 0.080589
 1.000000 0.012900 0.080964
 1.000000 0.012960 0.081340
 1.000000 0.013020 0.081716
 1.000000 0.013080 0.082092
 1.000000 0.013140 0.082467
 1.000000 0.013200 0.082843
 1.000000 0.013260 0.083219
 1.000000 0.013320 0.083594
 1.000000 0.013380 0.083970
 1.000000 0.013440 0.084346
 1.000000 0.013500 0.084721
 1.000000 0.013560 0.085097
 1.000000 0.013620 0.085473
 1.000000 0.013680 0.085848
 1.000000 0.013740 0.086224
 1.000000 0.013800 0.086599
 1.000000 0.013860 0.086975
 1.000000 0.013920 0.087350
 1.000000 0.013980 0.087726
 1.000000 0.014040 0.088102
 1.000000 0.014100 0.088477
 1.000000 0.014160 0.088853
 1.000000 0.014220 0.089228
 1.000000 0.014280 0.089604
 1.000000 0.014340 0.089979
 1.000000 0.014400 0.090354
 1.000000 0.014460 0.090730
 1.000000 0.014520 0.091105
 1.000000 0.014580 0.091481
 1.000000 0.014640 0.091856
 1.000000 0.014700 0.092232
 1.000000 0.014760 0.092607
 1.000000 0.014820 0.092982
 1.000000 0.014880 0.093358
 1.000000 0.014940 0.093733
 1.000000 0.015000 0.094108
 1.000000 0.015060 0.094484
 1.000000 0.015120 0.094859
 1.000000 0.015180 0.095234
 1.000000 0.015240 0.095609
 1.000000 0.015300 0.095985
 1.000000 0.015360 0.096360
 1.000000 0.015420 0.096735
 1.000000 0.015480 0.097110
 1.000000 0.015540 0.097486
 1.000000 0.015600 0.097861
 1.000000 0.015660 0.098236
 1.000000 0.015720 0.098611
 1.000000 0.015780 0.098986
 1.000000 0.015840 0.099361
 1.000000 0.015900 0.099737
 1.000000 0.015960 0.100112
 1.000000 0.016020 0.100487
 1.000000 0.016080 0.100862
 1.000000 0.016140 0.101237
 1.000000 0.016200 0.101612
 1.000000 0.016260 0.101987
 1.000000 0.016320 0.102362
 1.000000 0.016380 0.102737
 1.000000 0.016440 0.103112
 1.000000 0.016500 0.103487
 1.000000 0.016560 0.103862
 1.000000 0.016620 0.104237
 1.000000 0.016680 0.104612
 1.000000 0.016740 0.104987
 1.000000 0.016800 0.105362
 1.000000 0.016860 0.105736
 1.000000 0.016920 0.106111
 1.000000 0.016980 0.106486
 1.000000 0.017040 0.106861
 1.000000 0.017100 0.107236
 1.000000 0.017160 0.107611
 1.000000 0.017220 0.107985
 1.000000 0.017280 0.108360
 1.000000 0.017340 0.108735
 1.000000 0.017400 0.109110
 1.000000 0.017460 0.109484
 1.000000 0.017520 0.109859
 1.000000 0.017580 0.110234
 1.000000 0.017640 0.110609
 1.000000 0.017700 0.110983
 1.000000 0.017760 0.111358
 1.000000 0.017820 0.111733
 1.000000 0.017880 0.112107
 1.000000 0.017940 0.112482
 1.000000 0.018000 0.112856
 1.000000 0.018060 0.113231
 1.000000 0.018120 0.113606
 1.000000 0.018180 0.113980
 1.000000 0.018240 0.114355
 1.000000 0.018300 0.114729
 1.000000 0.018360 0.115104
 1.000000 0.018420 0.115478
 1.000000 0.018480 0.115853
 1.000000 0.018540 0.116227
 1.000000 0.018600 0.116601
 1.000000 0.018660 0.116976
 1.000000 0.018720 0.117350
 1.000000 0.018780 0.117725
 1.000000 0.018840 0.118099
 1.000000 0.018900 0.118473
 1.000000 0.018960 0.118848
 1.000000 0.019020 0.119222
 1.000000 0.019080 0.119596
 1.000000 0.019140 0.119971
 1.000000 0.019200 0.120345
 1.000000 0.019260 0.120719
 1.000000 0.019320 0.121093
 1.000000 0.019380 0.121467
 1.000000 0.019440 0.121842
 1.000000 0.019500 0.122216
 1.000000 0.019560 0.122590
 1.000000 0.019620 0.122964
 1.000000 0.019680 0.123338
 1.000000 0.019740 0.123712
 1.000000 0.019800 0.124086
 1.000000 0.019860 0.124460
 1.000000 0.019920 0.124835
 1.000000 0.019980 0.125209
 1.000000 0.020040 0.125583
 1.000000 0.020100 0.125957
 1.000000 0.020160 0.126331
 1.000000 0.020220 0.126705
 1.000000 0.020280 0.127078
 1.000000 0.020340 0.127452
 1.000000 0.020400 0.127826
 1.000000 0.020460 0.128200
 1.000000 0.020520 0.128574
 1.000000 0.020580 0.128948
 1.000000 0.020640 0.129322
 1.000000 0.020700 0.129696
 1.000000 0.020760 0.130069
 1.000000 0.020820 0.130443
 1.000000 0.020880 0.130817
 1.000000 0.020940 0.131191
 1.000000 0.021000 0.131564
 1.000000 0.021060 0.131938
 1.000000 0.021120 0.132312
 1.000000 0.021180 0.132685
 1.000000 0.021240 0.133059
 1.000000 0.021300 0.133433
 1.000000 0.021360 0.133806
 1.000000 0.021420 0.134180
 1.000000 0.021480 0.134553
 1.000000 0.021540 0.134927
 1.000000 0.021600 0.135301
 1.000000 0.021660 0.135674
 1.000000 0.021720 0.136048
 1.000000 0.021780 0.136421
 1.000000 0.021840 0.136795
 1.000000 0.021900 0.137168
 1.000000 0.021960 0.137541
 1.000000 0.022020 0.137915
 1.000000 0.022080 0.138288
 1.000000 0.022140 0.138661
 1.000000 0.022200 0.139035
 1.000000 0.022260 0.139408
 1.000000 0.022320 0.139781
 1.000000 0.022380 0.140155
 1.000000 0.022440 0.140528
 1.000000 0.022500 0.140901
 1.000000 0.022560 0.141274
 1.000000 0.022620 0.141648
 1.000000 0.022680 0.142021
 1.000000 0.022740 0.142394
 1.000000 0.022800 0.142767
 1.000000 0.022860 0.143140
 1.000000 0.022920 0.143513
 1.000000 0.022980 0.143886
 1.000000 0.023040 0.144259
 1.000000 0.023100 0.144633
 1.000000 0.023160 0.145006
 1.000000 0.023220 0.145379
 1.000000 0.023280 0.145752
 1.000000 0.023340 0.146124
 1.000000 0.023400 0.146497
 1.000000 0.023460 0.146870
 1.000000 0.023520 0.147243
 1.000000 0.023580 0.147616
 1.000000 0.023640 0.147989
 1.000000 0.023700 0.148362
